Month,Relation,Sentiment
2021-01,USA-China,0.06941309865946199
2021-02,USA-China,0.05225414829898324
2021-03,USA-China,0.0014320028875189099
2021-04,USA-China,0.04999232453940249
2021-05,USA-China,0.024248711808969536
2021-06,USA-China,0.022896935856503136
2021-07,USA-China,-0.004368153672043269
2021-08,USA-China,-0.02585551990345815
2021-09,USA-China,0.057780112781100616
2021-10,USA-China,0.007204951427141909
2021-11,USA-China,0.04909905890674413
2021-12,USA-China,-0.013689995713524658
2022-01,USA-China,0.05005996909598159
2022-02,USA-China,0.0722526005473701
2022-03,USA-China,0.03589683274776935
2022-04,USA-China,-0.0008517827831184599
2022-05,USA-China,0.03349016826846135
2022-06,USA-China,0.0048391645337880216
2022-07,USA-China,0.03888455499490213
2022-08,USA-China,-0.04187305986463574
2022-09,USA-China,0.021024732099273948
2022-10,USA-China,0.0452961672473867
2022-11,USA-China,0.04700224588086268
2022-12,USA-China,0.05624230626507887
2023-01,USA-China,0.05008887584477438
2023-02,USA-China,-0.012831357961892524
2023-03,USA-China,-0.019461397023020605
2023-04,USA-China,-0.03720585410724413
2023-05,USA-China,0.08956844866824218
2023-06,USA-China,0.03594914461083864
2023-07,USA-China,0.10636455690384386
2023-08,USA-China,0.0171318814453966
2023-09,USA-China,0.06190445793625102
2023-10,USA-China,0.08622458545508845
2023-11,USA-China,0.05570441950267958
2023-12,USA-China,0.03155301261098277
2024-01,USA-China,0.0712729250535214
2024-02,USA-China,0.046717551685063266
2024-03,USA-China,0.07951267190817107
2024-04,USA-China,0.006796669737043482
2024-05,USA-China,0.02351400485097985
2024-06,USA-China,0.012443259939945878
2024-07,USA-China,0.045415079287902504
2024-08,USA-China,0.03521848733594168
2024-09,USA-China,0.05188824994744413
2024-10,USA-China,0.046901671380983515
2024-11,USA-China,0.09711003408789774
2024-12,USA-China,0.06323588637658328
2025-01,USA-China,0.03386428477478742
2025-02,USA-China,0.036258867500999985
2025-03,USA-China,-0.006772496809127411
2025-04,USA-China,-0.006126509118096367
2025-05,USA-China,0.03956893471257883
2025-06,USA-China,0.04748751667784301
2025-07,USA-China,0.051960555800396345
